t (s),X,Y,Z,a (m/s^2)
100.0,-0.0002326767240047844,-4.383986000323406e-09,-0.0,0.0002326767240460849
1300.0,-0.0002326805904535314,-1.7234076273363716e-08,-0.0,0.0002326805910917741
2500.0,-0.00023268941870858604,-2.9032142658476346e-08,-0.0,0.00023268942051972406
3700.0,-0.0002327022704971253,-3.9157324772382764e-08,-0.0,0.00023270227379167002
4900.0,-0.0002327179608555358,-4.7176240426074323e-08,-0.0,0.00023271796563728456
6100.0,-0.00023273519071792184,-5.28473105151091e-08,-0.0,0.00023273519671795603
7300.0,-0.00023275265083115942,-5.610763410988878e-08,-0.0,0.0002327526575938462
8500.0,-0.00023276909622846662,-5.705241771600049e-08,-0.0,0.0002327691032203276
9700.0,-0.00023278339788843536,-5.591350480854051e-08,-0.0,0.000232783404603519
10900.0,-0.00023279458050702706,-5.304010808631579e-08,-0.0,0.00023279458654937784
12100.0,-0.00023280185474934924,-4.888218518863739e-08,-0.0,0.00023280185988132726
13300.0,-0.0002328046504921839,-4.397499643271745e-08,-0.0,0.00023280465464545208
14500.0,-0.0002328026550124177,-3.89219752328139e-08,-0.0,0.00023280265826607506
15700.0,-0.0002327958566618353,-3.437196786264118e-08,-0.0,0.00023279585919932068
16900.0,-0.00023278458976401845,-3.0986320026723724e-08,-0.0,0.00023278459182633714
18100.0,-0.00023276956995916455,-2.9391831390449977e-08,-0.0,0.00023276957181481893
19300.0,-0.00023275190188543125,-3.01183305683357e-08,-0.0,0.0002327519038341024
20500.0,-0.000232733036202065,-3.352551059211149e-08,-0.0,0.0002327330386167627
21700.0,-0.00023271465645915393,-3.973223832446861e-08,-0.0,0.00023271465985097027
22900.0,-0.0002326984937818235,-4.8569276668906695e-08,-0.0,0.0002326984988505598
24100.0,-0.0002326860970521808,-5.957689735525384e-08,-0.0,0.00023268610467920854
25300.0,-0.00023267861395364603,-7.205750485844477e-08,-0.0,0.00023267862511127627
26500.0,-0.0002326766435649886,-8.517339056843319e-08,-0.0,0.0002326766591542332
27700.0,-0.00023268019600758413,-9.806266545226857e-08,-0.0,0.00023268021667175343
28900.0,-0.00023268875372249367,-1.0994298011453648e-07,-0.0,0.00023268877969594105
30100.0,-0.00023270139763119786,-1.2018313766699282e-07,-0.0,0.0002327014286666488
31300.0,-0.00023271695370007922,-1.2833821922570598e-07,-0.0,0.00023271698908791194
32500.0,-0.00023273412679184366,-1.3415530445824598e-07,-0.0,0.00023273416545751868
33700.0,-0.00023275160627179227,-1.375611060849258e-07,-0.0,0.00023275164692254557
34900.0,-0.0002327681419926373,-1.38641673358689e-07,-0.0,0.0002327681832816035
36100.0,-0.00023278259701800546,-1.3762091459753922e-07,-0.0,0.00023278263769869792
37300.0,-0.00023279398597042693,-1.348412173006201e-07,-0.0,0.0002327940250224503
38500.0,-0.0002328015074417574,-1.3074673642898213e-07,-0.0,0.00023280154415695724
39700.0,-0.00023280457709993766,-1.258679830848085e-07,-0.0,0.0002328046111257893
40900.0,-0.000232802865610586,-1.208049150064288e-07,-0.0,0.00023280289695432928
42100.0,-0.0002327963421386801,-1.1620463463306109e-07,-0.0,0.0002327963711415333
43300.0,-0.0002327853194807024,-1.1272917871093146e-07,-0.0,0.0002327853467759524
44500.0,-0.00023277049045170495,-1.1100933629083924e-07,-0.0,0.00023277051692213946
45700.0,-0.00023275293779422302,-1.1158300882038196e-07,-0.0,0.00023275296454096844
46900.0,-0.00023273409471226384,-1.148223302946618e-07,-0.0,0.00023273412303679176
48100.0,-0.0002327156359886201,-1.20862254979245e-07,-0.0,0.00023271566737388484
49300.0,-0.00023269929627727136,-1.2955125461630622e-07,-0.0,0.0002326993323399637
50500.0,-0.00023268664146728336,-1.404458847960315e-07,-0.0,0.00023268668385270918
51700.0,-0.00023267884736791493,-1.5286029800038127e-07,-0.0,0.0002326788975793296
52900.0,-0.000232676546943591,-1.6596200427396325e-07,-0.0,0.00023267660613172946
54100.0,-0.00023267978365014696,-1.788875951215649e-07,-0.0,0.00023267985241582669
55300.0,-0.00023268806770145503,-1.9084781617519938e-07,-0.0,0.00023268814596692685
56500.0,-0.00023270049970005872,-2.012012700254147e-07,-0.0,0.00023270058668299075
57700.0,-0.000232715916994048,-2.094915355291764e-07,-0.0,0.0002327160112864693
58900.0,-0.00023273302874003585,-2.1545432044860015e-07,-0.0,0.0002327331284692288
60100.0,-0.00023275052319431076,-2.1900588843037216e-07,-0.0,0.0002327506262307463
61300.0,-0.00023276714522718788,-2.2022305906472033e-07,-0.0,0.00023276724940465854
62500.0,-0.00023278175013752704,-2.1932173470853395e-07,-0.0,0.0002327818534575094
63700.0,-0.0002327933426021324,-2.1663741100969087e-07,-0.0,0.00023279344340346365
64900.0,-0.00023280110926473673,-2.1260837396798245e-07,-0.0,0.00023280120634827596
66100.0,-0.00023280445171902335,-2.07760311116792e-07,-0.0,0.0002328045444241627
67300.0,-0.00023280302416481765,-2.0268961020039085e-07,-0.0,0.00023280311240050626
68500.0,-0.00023279677672326547,-1.980415018724286e-07,-0.0,0.00023279686096074916
69700.0,-0.0002327860007707344,-1.9447854047182298e-07,-0.0,0.00023278608200821428
70900.0,-0.0002327713663117012,-1.9263528230526492e-07,-0.0,0.00023277144602156034
72100.0,-0.0002327539340427349,-1.9305744641254397e-07,-0.0,0.00023275401410834446
73300.0,-0.00023273511933407347,-1.9612936275042454e-07,-0.0,0.00023273520197463114
74500.0,-0.00023271658758471686,-2.0200190760751778e-07,-0.0,0.00023271667525522503
75700.0,-0.00023270007620848336,-2.1054124874357428e-07,-0.0,0.0002327001714547099
76900.0,-0.00023268716735854865,-2.2132040229236462e-07,-0.0,0.00023268727261297663
78100.0,-0.00023267906445545067,-2.336656049589853e-07,-0.0,0.00023267918178358524
79300.0,-0.00023267643418704325,-2.4674999158070946e-07,-0.0,0.00023267656502440424
80500.0,-0.0002326793535234144,-2.5970900602938816e-07,-0.0,0.00023267949846267477
81700.0,-0.0002326873608566847,-2.7174675568817617e-07,-0.0,0.00023268751953800236
82900.0,-0.00023269957695616107,-2.822117854162198e-07,-0.0,0.0002326997480855279
84100.0,-0.00023271485100693462,-2.9063621126701346e-07,-0.0,0.0002327150324937929
85300.0,-0.00023273189683003351,-2.9674434137415517e-07,-0.0,0.00023273208601159727
86500.0,-0.0002327494018501243,-3.00441928918816e-07,-0.0,0.0002327495957610739
87700.0,-0.00023276610615678074,-3.017964917701122e-07,-0.0,0.00023276630180615098
88900.0,-0.00023278085743637784,-3.0101585546186396e-07,-0.0,0.00023278105206257768
90100.0,-0.00023279265054851925,-2.9842855709969907e-07,-0.0,0.00023279284183369705
91300.0,-0.00023280066031386968,-2.94466947728701e-07,-0.0,0.00023280084654776718
92500.0,-0.00023280427438597583,-2.896518178086197e-07,-0.0,0.0002328044545762737
93700.0,-0.00023280313064419242,-2.8457589233418615e-07,-0.0,0.00023280330457529038
94900.0,-0.0002327971603099272,-2.7988240451409937e-07,-0.0,0.00023279732855539022
96100.0,-0.00023278663345004767,-2.7623425558106064e-07,-0.0,0.00023278679734549124
97300.0,-0.0002327721972803622,-2.7426954941899563e-07,-0.0,0.0002327723588627172
98500.0,-0.0002327548903125473,-2.7454156821940164e-07,-0.0,0.00023275505222761244
99700.0,-0.000232736109718431,-2.774465903883484e-07,-0.0,0.00023273627509152943
100900.0,-0.0002327175109087732,-2.8315124198859e-07,-0.0,0.00023271768316610755
102100.0,-0.00023270083329258166,-2.915393635671841e-07,-0.0,0.00023270101592013384
103300.0,-0.00023268767453705051,-3.022005976604518e-07,-0.0,0.0002326878707768447
104500.0,-0.0002326792651420207,-3.1447359420298287e-07,-0.0,0.00023267947765256872
105700.0,-0.00023267630533554203,-3.2753751778184235e-07,-0.0,0.0002326765358720641
106900.0,-0.0002326789057646587,-3.4052704071625535e-07,-0.0,0.00023267915494625723
108100.0,-0.00023268663339609004,-3.5263990583690475e-07,-0.0,0.00023268690061133566
109300.0,-0.00023269862965018967,-3.6321474993085803e-07,-0.0,0.00023269891311742454
