(8000000.0,0.0)
(8000000.006765663,8.499997305)
(7980632.524163547,679444.3805389863)
(7921683.241164533,1355514.2837898359)
(7823841.968404992,2024936.7706588344)
(7688221.707056475,2684592.5174940806)
(7516312.637592131,3331591.193720458)
(7309923.885886281,3963324.155154589)
(7071117.893576397,4577501.02974224)
(6802142.250130592,5172169.925036778)
(6505363.314322753,5745722.407903185)
(6183205.046353759,6296885.436651801)
(5838095.396326562,6824703.008435578)
(5472421.533104131,7328510.453326078)
(5088494.279166482,7807904.1506639)
(4688521.410581792,8262709.0747073125)
(4274589.0026734155,8692946.101706985)
(3848649.730902609,9098800.514349367)
(3412516.932653502,9480592.680004045)
(2967863.252731386,9838751.488813274)
(2516222.7902327217,10173790.828683157)
(2058995.8015032813,10486289.145303188)
(1597455.166839553,10776871.977112282)
(1132753.9796803086,11046197.254916439)
(665933.7556445556,11294943.100316804)
(197932.87954530286,11523797.834150229)
(-270404.9902892289,11733451.905574186)
(-738322.7588887021,11924591.466286078)
(-1205142.1062845604,12097893.336623082)
(-1670256.157454071,12254021.136683557)
(-2133122.656433793,12393622.383203648)
(-2593257.662839957,12517326.37986223)
(-3050229.769330064,12625742.753824925)
(-3503654.8249831405,12719460.514110086)
(-3953191.1406848016,12799047.527503533)
(-4398535.147200614,12865050.32531215)
(-4839417.473764261,12917994.169295821)
(-5275599.413973071,12958383.31795121)
(-5706869.746020793,12986701.44509927)
(-6133041.875385137,13003412.171772856)
(-6553951.269719791,13008959.679910619)
(-6969453.157654131,13003769.38258196)
(-7379420.465310637,12988248.630588163)
(-7783741.966501855,12962787.43948909)
(-8182320.624690635,12927759.224532986)
(-8575072.106829723,12883521.533767503)
(-8961923.451118188,12830416.771869387)
(-9342811.872499555,12768772.909075735)
(-9717683.691371107,12698904.171058346)
(-10086493.37248186,12621111.706777327)
(-10449202.662361648,12535684.232287034)
(-10805779.814863382,12442898.649212101)
(-11156198.895509792,12343020.637205575)
(-11500439.156341095,12236305.220155355)
(-11838484.4738511,12122997.306261301)
(-12170322.843399992,12003332.202374179)
(-12495945.924210502,11877536.10319669)
(-12815348.62968671,11745826.556086497)
(-13128528.758360706,11608412.902310843)
(-13435486.661290517,11465496.69567536)
(-13736224.94215465,11317272.099486854)
(-14030748.186723256,11163926.262834584)
(-14319062.718713326,11005639.677186318)
(-14601176.37936709,10842586.5142716)
(-14877098.328367196,10674934.946227342)
(-15146838.863958428,10502847.448942335)
(-15410409.260363704,10326481.089512447)
(-15667821.620783681,10145987.798687337)
(-15919088.7444475,9961514.629149595)
(-16164224.006335845,9773204.000432145)
(-16403241.248342238,9581193.931246363)
(-16636154.680763269,9385618.259946734)
(-16862978.79311968,9186606.853829233)
(-17083728.273410514,8984285.807920462)
(-17298417.93499557,8778777.633881517)
(-17507062.650372222,8570201.439613538)
(-17709677.291205868,8358673.100120644)
(-17906276.674001217,8144305.42015698)
(-18096875.510902982,7927208.289152878)
(-18281488.365130812,7707488.828886475)
(-18460129.61061779,7485251.534342402)
(-18632813.395463668,7260598.408172094)
(-18799553.608839158,7033629.089149198)
(-18960363.851026133,6804440.974986408)
(-19115257.406301998,6573129.339867545)
(-19264247.21840333,6339787.447018043)
(-19407345.868327845,6104506.656628619)
(-19544565.554267075,5867376.529423378)
(-19675918.07346165,5628484.926151079)
(-19801414.805809446,5387918.103260515)
(-19921066.699068576,5145760.805009495)
(-20034884.2554988,4902096.352242343)
(-20142877.51981529,4657006.728057916)
(-20245056.06833648,4410572.6605821485)
(-20341428.999214657,4162873.703046388)
(-20432004.923648912,3913988.3113608095)
(-20516791.95799717,3663993.919369515)
(-20595797.7166984,3412967.011959659)
(-20669029.30594283,3160983.19619182)
(-20736493.318017904,2908117.2706130687)
(-20798195.826268055,2654443.292905722)
(-20854142.38062825,2400034.64602011)
(-20904338.00366996,2144964.102933317)
(-20948787.18712655,1889303.8901736198)
(-20987493.888861865,1633125.7502427166)
(-21020461.53024045,1376501.0030668313)
(-21047692.99388457,1119500.606602936)
(-21069190.621784784,862195.2167243577)
(-21084956.213746432,604655.2465065815)
(-21094991.02615837,346950.9250329892)
(-21099295.771066766,89152.35583832915)
(-21097870.615551475,-168670.42489379423)
(-21090715.18138836,-426447.39026353054)
(-21077828.54501022,-684108.4646023487)
(-21059209.237752646,-941583.4653202414)
(-21034855.24639693,-1198802.0445370495)
(-21004764.014017463,-1455693.6303816582)
(-20968932.441144053,-1712187.3678414929)
(-20927356.887247056,-1968212.0590434894)
(-20880033.172579367,-2223696.1028456995)
(-20826956.580378097,-2478567.4336156924)
(-20768121.859467246,-2732753.4590711417)
(-20703523.2272862,-2986180.997051302)
(-20633154.373374116,-3238776.211088458)
(-20557008.463361043,-3490464.5446409457)
(-20475078.143499,-3741170.6538466555)
(-20387355.545789458,-3990818.3386502108)
(-20293832.293765403,-4239330.472151069)
(-20194499.50898158,-4486628.928013471)
(-20089347.81829511,-4732634.505774236)
(-19978367.36200306,-4977266.853873184)
(-19861547.802929074,-5220444.390226737)
(-19738878.336549543,-5462084.2201540535)
(-19610347.702271033,-5702102.051457125)
(-19475944.19596281,-5940412.106443924)
(-19335655.683887172,-6176927.030675142)
(-19189469.618153993,-6411557.798201135)
(-19037373.053866535,-6644213.613043272)
(-18879352.66812471,-6874801.806662026)
(-18715394.78107279,-7103227.731135498)
(-18545485.379207317,-7329394.647759451)
(-18369610.141172353,-7553203.610762888)
(-18187754.466294587,-7774553.345811611)
(-17999903.50614443,-7993340.12295689)
(-17806042.199431285,-8209457.623664402)
(-17606155.310576852,-8422796.801533522)
(-17400227.47234785,-8633245.73629949)
(-17188243.23296589,-8840689.48067907)
(-16970187.108167082,-9045009.899600627)
(-16746043.638718184,-9246085.501325436)
(-16515797.453968445,-9443791.259944748)
(-16279433.342069523,-9637998.42869413)
(-16036936.327563263,-9828574.343512364)
(-15788291.757125847,-10015382.216217205)
(-15533485.394331887,-10198280.916653994)
(-15272503.524403663,-10377124.743120464)
(-15005333.070025913,-10551763.180347541)
(-14731961.719411802,-10722040.64426779)
(-14452378.067962833,-10887796.212769832)
(-14166571.775001341,-11048863.341599073)
(-13874533.737233369,-11205069.56452508)
(-13576256.280792048,-11356236.17686364)
(-13271733.373926848,-11502177.901410753)
(-12960960.862644961,-11642702.53581448)
(-12643936.731885511,-11777610.580397163)
(-12320661.395114975,-11906694.84541586)
(-11991138.015573887,-12029740.036764856)
(-11655372.862795766,-12146522.319126656)
(-11313375.70844851,-12256808.855616827)
(-10965160.266050125,-12360357.323030742)
(-10610744.67964512,-12456915.401883764)
(-10250152.067159073,-12546220.240582649)
(-9883411.124835845,-12627997.893235266)
(-9510556.799940707,-12701962.730858566)
(-9131631.039782604,-12767816.826074364)
(-8746683.626084037,-12825249.31179676)
(-8355773.104804773,-12873935.714967128)
(-7958967.8227428235,-12913537.267084522)
(-7556347.083559514,-12943700.194157539)
(-7148002.437356936,-12964054.98980502)
(-6734039.119548047,-12974215.676624106)
(-6314577.656518501,-12973779.062645638)
(-5889755.657473945,-12962324.001849383)
(-5459729.81389093,-12939410.670321152)
(-5024678.130099062,-12904579.872889448)
(-4584802.41069897,-12857352.399033653)
(-4140331.032672892,-12797228.45170622)
(-3691522.0320818103,-12723687.178600045)
(-3238666.5370201976,-12636186.342520174)
(-2782092.579805393,-12534162.176122189)
(-2322169.321935709,-12417029.476551078)
(-1859311.72477348,-12284182.007772122)
(-1393985.6966886236,-12134993.292826125)
(-926713.7428515345,-11968817.895116985)
(-458081.13613237906,-11784993.307324938)
(11257.384483256566,-11582842.588661492)
(480570.3992934131,-11361677.915821362)
(949042.1135721165,-11120805.239634994)
(1415764.254602598,-10859530.26717953)
(1879727.677397054,-10577166.016300548)
(2339813.856964124,-10273042.213546356)
(2794786.5221678903,-9946516.82357175)
(3243283.7821114506,-9596990.002605807)
(3683811.2115655905,-9223920.7532263)
(4114736.4963111845,-8826846.512788163)
(4534286.388205603,-8405405.821837777)
(4940546.8743639225,-7959364.078509944)
(5331467.6095136795,-7488642.1770593)
(5704871.771497434,-6993347.542577585)
(6058472.544042098,-6473806.705365205)
(6389897.366791543,-5930598.115112693)
(6696720.873940553,-5364583.403106871)
(6976507.02630637,-4776934.810542794)
(7226860.299464237,-4169156.090436515)
(7445484.926566728,-3543093.9613284906)
(7630250.16113085,-2900937.2557347347)
(7779258.434764739,-2245201.364542052)
(7890912.307492346,-1578696.483103192)
(7963975.449238286,-904479.4876512839)
(7997622.746557824,-225790.8812271816)
(7991475.129163278,454020.08203682967)
(7945615.867808808,1131577.5443420687)
(7860586.775671317,1803562.9796343972)
(7737364.689196499,2466795.199720305)
(7577320.483771766,3118301.229940481)
(7382164.383655664,3755374.0098175965)
(7153882.238237211,4375614.4366610935)
(6894667.68128706,4976956.9475144)
(6606854.728690848,5557679.355664756)
(6292854.56578796,6116398.828875825)
(5955099.233750645,6652056.627746583)
(5595993.840823026,7163894.520784511)
(5217877.947706437,7651425.7327363035)
(4822995.995411295,8114402.972297828)
(4413476.090500237,8552785.635046814)
(3991316.1264908607,8966707.780543806)
(3558376.065892716,9356448.006092008)
(3116375.189380503,9722401.924072485)
(2666893.1920223287,10065057.613370698)
(2211374.1328931903,10384974.160629185)
(1751132.3944346816,10682763.226699077)
(1287359.961116966,10959073.455671934)
(821134.4705335131,11214577.47493078)
(353427.61709350604,11449961.20209648)
(-114886.40379355702,11665915.167747963)
(-583022.6348111847,11863127.572614014)
(-1050277.4324726427,12042278.817952612)
(-1516020.9781548225,12204037.27324055)
(-1979690.2815812316,12349056.072743474)
(-2440782.7031912324,12477970.759848434)
(-2898849.9997104076,12591397.623867003)
(-3353492.8818169106,12689932.59761229)
(-3804356.062503811,12774150.605079312)
(-4251123.768291086,12844605.266969137)
(-4693515.681828235,12901828.88766457)
(-5131283.282859038,12946332.660800187)
(-5564206.554385456,12978607.042008324)
(-5992091.021715745,12999122.247015001)
(-6414765.093557449,13008328.8412518)
(-6832077.676186853,13006658.393776244)
(-7243896.033794861,12994524.173748668)
(-7650103.870256602,12972321.872221485)
(-8050599.60971315,12940430.335647816)
(-8445294.855415812,12899212.300525589)
(-8834113.00824779,12849015.121016014)
(-9216988.028168475,12790171.483347407)
(-9593863.323522981,12723000.102401683)
(-9964690.754703347,12647806.397146689)
(-10329429.740072252,12564883.14260365)
(-10688046.453326385,12474511.096837394)
(-11040513.10264341,12376959.602100214)
(-11386807.282979265,12272487.159759693)
(-11726911.393824074,12161341.979019733)
(-12060812.115548953,12043762.499750447)
(-12388499.93821576,11919977.88996112)
(-12709968.737391213,11790208.518614477)
(-13025215.39209091,11654666.404603312)
(-13334239.440507889,11513555.64278834)
