(0.0005,8499.997305)
(80.0005,8478.869853422719)
(160.0005,8416.025885268995)
(240.0005,8313.024940165838)
(320.0005,8172.337928829027)
(400.0005,7997.188858000384)
(480.0005,7791.361964302183)
(560.0005,7558.995387634231)
(640.0005,7304.381035722396)
(720.0005,7031.78618123959)
(800.0005,6745.30688094525)
(880.0005,6448.757769127413)
(960.0005,6145.598081976091)
(1040.0005,5838.89039915099)
(1120.0005,5531.286627105496)
(1200.0005,5225.035005409502)
(1280.0005,4922.002070576477)
(1360.0005,4623.704221516845)
(1440.0005,4331.344506815089)
(1520.0005,4045.851285136219)
(1600.0005,3767.9163636320973)
(1680.0005,3498.031027298622)
(1760.0005,3236.5190127392393)
(1840.0005,2983.56595905145)
(1920.0005,2739.245207707502)
(2000.0005,2503.540048977094)
(2080.0005,2276.362651145448)
(2160.0005,2057.5699839517074)
(2240.0005,1846.9770785504243)
(2320.0005,1644.3679678436317)
(2400.0005,1449.5046343533668)
(2480.0005,1262.1342658554877)
(2560.0005,1081.9950872284228)
(2640.0005,908.8210039758525)
(2720.0005,742.3452608946687)
(2800.0005,582.3032896661334)
(2880.0005,428.4348923903995)
(2960.0005,280.485884484062)
(3040.0005,138.2092998779069)
(3120.0005,1.3662438945758562)
(3200.0005,-130.2735357175933)
(3280.0005,-256.9313016700348)
(3360.0005,-378.8191565181857)
(3440.0005,-496.1400098678576)
(3520.0005,-609.0876519741801)
(3600.0005,-717.8469082868435)
(3680.0005,-822.5938544199465)
(3760.0005,-923.4960750653548)
(3840.0005,-1020.7129536759716)
(3920.0005,-1114.3959824448825)
(4000.0005,-1204.6890843054182)
(4080.0005,-1291.7289404643354)
(4160.0005,-1375.645318426898)
(4240.0005,-1456.5613966441379)
(4320.0005,-1534.5940828553696)
(4400.0005,-1609.8543239561086)
(4480.0005,-1682.4474058280825)
(4560.0005,-1752.4732420511116)
(4640.0005,-1820.0266507985486)
(4720.0005,-1885.1976195196512)
(4800.0005,-1948.0715572474644)
(4880.0005,-2008.7295345528148)
(4960.0005,-2067.2485113034595)
(5040.0005,-2123.701552492621)
(5120.0005,-2178.158032477253)
(5200.0005,-2230.6838280201223)
(5280.0005,-2281.3415005688585)
(5360.0005,-2330.1904682248296)
(5440.0005,-2377.2871678697456)
(5520.0005,-2422.685207919237)
(5600.0005,-2466.43551217076)
(5680.0005,-2508.5864552035437)
(5760.0005,-2549.183989778855)
(5840.0005,-2588.271766672066)
(5920.0005,-2625.891247352068)
(6000.0005,-2662.0818099077223)
(6080.0005,-2696.88084859882)
(6160.0005,-2730.3238673946826)
(6240.0005,-2762.444567840823)
(6320.0005,-2793.2749315780507)
(6400.0005,-2822.8452978183877)
(6480.0005,-2851.184436065112)
(6560.0005,-2878.3196143475766)
(6640.0005,-2904.276663223173)
(6720.0005,-2929.0800357849494)
(6800.0005,-2952.752863896251)
(6880.0005,-2975.3170108610534)
(6960.0005,-2996.79312072342)
(7040.0005,-3017.2006643778777)
(7120.0005,-3036.5579826588296)
(7200.0005,-3054.8823265657206)
(7280.0005,-3072.1898947706986)
(7360.0005,-3088.495868543414)
(7440.0005,-3103.814444218474)
(7520.0005,-3118.1588633220417)
(7600.0005,-3131.5414404640246)
(7680.0005,-3143.9735890954025)
(7760.0005,-3155.465845220639)
(7840.0005,-3166.0278891486264)
(7920.0005,-3175.668565357643)
(8000.0005,-3184.3959005446254)
(8080.0005,-3192.2171199193017)
(8160.0005,-3199.138661800766)
(8240.0005,-3205.1661905656797)
(8320.0005,-3210.3046079930773)
(8400.0005,-3214.5580630439913)
(8480.0005,-3217.929960108988)
(8560.0005,-3220.422965752593)
(8640.0005,-3222.0390139756278)
(8720.0005,-3222.779310014869)
(8800.0005,-3222.644332691901)
(8880.0005,-3221.6338353193814)
(8960.0005,-3219.7468451675563)
(9040.0005,-3216.9816614889214)
(9120.0005,-3213.3358520949246)
(9200.0005,-3208.8062484725233)
(9280.0005,-3203.3889394238827)
(9360.0005,-3197.0792632082403)
(9440.0005,-3189.8717981583995)
(9520.0005,-3181.7603517403236)
(9600.0005,-3172.7379480183713)
(9680.0005,-3162.796813482298)
(9760.0005,-3151.928361189199)
(9840.0005,-3140.1231731631274)
(9920.0005,-3127.370980993502)
(10000.0005,-3113.660644563462)
(10080.0005,-3098.9801288339977)
(10160.0005,-3083.3164786031484)
(10240.0005,-3066.65579115011)
(10320.0005,-3048.983186667575)
(10400.0005,-3030.282776377443)
(10480.0005,-3010.537628215351)
(10560.0005,-2989.7297299598026)
(10640.0005,-2967.8399496743523)
(10720.0005,-2944.8479933171097)
